"x.interest_over_time.date","x.interest_over_time.hits"
2012-11-18,19
2012-11-25,17
2012-12-02,17
2012-12-09,18
2012-12-16,21
2012-12-23,28
2012-12-30,12
2013-01-06,18
2013-01-13,21
2013-01-20,21
2013-01-27,22
2013-02-03,26
2013-02-10,22
2013-02-17,24
2013-02-24,35
2013-03-03,17
2013-03-10,18
2013-03-17,23
2013-03-24,24
2013-03-31,23
2013-04-07,24
2013-04-14,21
2013-04-21,20
2013-04-28,15
2013-05-05,15
2013-05-12,24
2013-05-19,21
2013-05-26,22
2013-06-02,27
2013-06-09,25
2013-06-16,41
2013-06-23,51
2013-06-30,55
2013-07-07,44
2013-07-14,38
2013-07-21,52
2013-07-28,69
2013-08-04,52
2013-08-11,32
2013-08-18,30
2013-08-25,37
2013-09-01,35
2013-09-08,28
2013-09-15,32
2013-09-22,26
2013-09-29,26
2013-10-06,23
2013-10-13,23
2013-10-20,20
2013-10-27,22
2013-11-03,24
2013-11-10,21
2013-11-17,23
2013-11-24,25
2013-12-01,21
2013-12-08,19
2013-12-15,23
2013-12-22,21
2013-12-29,10
2014-01-05,17
2014-01-12,23
2014-01-19,23
2014-01-26,25
2014-02-02,23
2014-02-09,22
2014-02-16,27
2014-02-23,25
2014-03-02,18
2014-03-09,22
2014-03-16,25
2014-03-23,22
2014-03-30,24
2014-04-06,25
2014-04-13,25
2014-04-20,22
2014-04-27,17
2014-05-04,21
2014-05-11,28
2014-05-18,27
2014-05-25,26
2014-06-01,27
2014-06-08,24
2014-06-15,42
2014-06-22,62
2014-06-29,53
2014-07-06,43
2014-07-13,36
2014-07-20,42
2014-07-27,75
2014-08-03,55
2014-08-10,34
2014-08-17,32
2014-08-24,44
2014-08-31,46
2014-09-07,37
2014-09-14,36
2014-09-21,34
2014-09-28,32
2014-10-05,37
2014-10-12,35
2014-10-19,33
2014-10-26,31
2014-11-02,28
2014-11-09,29
2014-11-16,32
2014-11-23,30
2014-11-30,28
2014-12-07,27
2014-12-14,31
2014-12-21,31
2014-12-28,17
2015-01-04,20
2015-01-11,31
2015-01-18,37
2015-01-25,29
2015-02-01,34
2015-02-08,36
2015-02-15,32
2015-02-22,30
2015-03-01,27
2015-03-08,31
2015-03-15,35
2015-03-22,41
2015-03-29,32
2015-04-05,33
2015-04-12,31
2015-04-19,29
2015-04-26,27
2015-05-03,30
2015-05-10,32
2015-05-17,30
2015-05-24,31
2015-05-31,34
2015-06-07,37
2015-06-14,48
2015-06-21,59
2015-06-28,83
2015-07-05,56
2015-07-12,52
2015-07-19,55
2015-07-26,64
2015-08-02,61
2015-08-09,42
2015-08-16,34
2015-08-23,41
2015-08-30,51
2015-09-06,40
2015-09-13,43
2015-09-20,37
2015-09-27,39
2015-10-04,36
2015-10-11,35
2015-10-18,34
2015-10-25,36
2015-11-01,33
2015-11-08,37
2015-11-15,35
2015-11-22,36
2015-11-29,29
2015-12-06,32
2015-12-13,33
2015-12-20,35
2015-12-27,24
2016-01-03,22
2016-01-10,36
2016-01-17,41
2016-01-24,41
2016-01-31,37
2016-02-07,38
2016-02-14,44
2016-02-21,34
2016-02-28,34
2016-03-06,26
2016-03-13,42
2016-03-20,36
2016-03-27,35
2016-04-03,38
2016-04-10,37
2016-04-17,37
2016-04-24,30
2016-05-01,27
2016-05-08,34
2016-05-15,38
2016-05-22,38
2016-05-29,41
2016-06-05,47
2016-06-12,42
2016-06-19,62
2016-06-26,94
2016-07-03,84
2016-07-10,62
2016-07-17,60
2016-07-24,69
2016-07-31,64
2016-08-07,48
2016-08-14,59
2016-08-21,51
2016-08-28,65
2016-09-04,51
2016-09-11,42
2016-09-18,44
2016-09-25,38
2016-10-02,37
2016-10-09,36
2016-10-16,35
2016-10-23,32
2016-10-30,33
2016-11-06,42
2016-11-13,36
2016-11-20,37
2016-11-27,35
2016-12-04,34
2016-12-11,31
2016-12-18,31
2016-12-25,26
2017-01-01,20
2017-01-08,37
2017-01-15,38
2017-01-22,34
2017-01-29,35
2017-02-05,37
2017-02-12,35
2017-02-19,30
2017-02-26,38
2017-03-05,27
2017-03-12,40
2017-03-19,39
2017-03-26,35
2017-04-02,34
2017-04-09,37
2017-04-16,33
2017-04-23,33
2017-04-30,28
2017-05-07,30
2017-05-14,37
2017-05-21,37
2017-05-28,39
2017-06-04,40
2017-06-11,39
2017-06-18,55
2017-06-25,76
2017-07-02,100
2017-07-09,73
2017-07-16,55
2017-07-23,64
2017-07-30,72
2017-08-06,51
2017-08-13,45
2017-08-20,45
2017-08-27,55
2017-09-03,49
2017-09-10,51
2017-09-17,41
2017-09-24,38
2017-10-01,36
2017-10-08,38
2017-10-15,41
2017-10-22,39
2017-10-29,37
2017-11-05,43
2017-11-12,0
